作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度
郑愔,降,1,0.770161,0.770161,塞外三首,须筑受降城,漢築受降城。,,0.770161
郑谷,忠,1,0.864149,0.864149,故少师从翁隐岩别墅乱后榛芜感旧怆怀遂有追纪,忠为社稷臣,社稷臣,漢文帝目送絳侯曰：「社稷臣袁盎。」曰：「功臣非社稷臣也。社稷臣者，主存與存，主亡與亡。諸呂用事，絳侯為太尉，本柄不正，共誅諸呂，適會功成。故曰功臣。」,0.864149
郑谷,裘,1,0.764982,0.764982,转正郎后寄献集贤相公,屈指年来三十年,三十年,晏子一狐裘三十年，晏子焉知禮？言太儉也。,0.764982
郭元振,菊,1,0.784792,0.784792,相和歌辞。子夜四时歌六首。秋歌二首,延年菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.784792
郭密之,仙,1,0.77345,0.77345,永嘉经谢公石门山作,忽如生羽翼,生羽翼,,0.77345
郭震,菊,1,0.784792,0.784792,子夜四时歌六首。秋歌,延年菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.784792
钱珝,名譽,1,0.747342,0.747342,江行无题一百首,行是知名物,行浮於名。,,0.747342
钱起,宰相,1,0.765453,0.765453,早渡伊川见旧邻作,相见具舟楫,舟楫,,0.765453
钱起,勤學,1,0.76333,0.76333,裴侍郎湘川回，以青竹筒相遗，因而赠之,君子知虚心,君子求諸己,,0.76333
钱起,官班,1,0.75235,0.75235,江行无题一百首（一作钱珝诗）,信是知名物,名以出信,信以守器，器以藏物。《傳》。,0.75235
钱起,鬼神,1,0.745999,0.745999,咏白油帽送客,行止必依人,依人,鬼神依人而行。,0.745999
钱起,行旅,1,0.744925,0.744925,夕发箭场岩下作,行役不遑安,不遑寧處,,0.744925
钱起,賔館,1,0.744264,0.744264,赠李十六,欣然倒屣迎,倒屣迎賔,王粲仲宣詣蔡邕，邕倒屣迎之，粲年少，容貌短小，既至一座盡驚曰：「王孫有異才，吾不如也。吾家書籍文章盡與之。」,0.744264
长孙无忌,衾,1,0.745414,0.745414,新曲二首,翡翠珠被烂齐光,翡翠珠被,爛齊光**：《楚詞》。,0.745414
长须国驸马,粟,1,0.7814,0.7814,长须国驸马咏妻,未必不如惣有,有秕,若苗之有秀，若粟之有秕。,0.7814
陆龟蒙,扇,2,0.851597,0.8325185,奉和袭美太湖诗二十首。太湖石,玲珑五明扇,五明扇,崔豹《古今注》曰：「舜廣視聽求賢人，以自輔作五明扇。,0.851597
陆龟蒙,命運,1,0.839724,0.839724,紫溪翁歌,吾不知所以然而然,不知所以然而然,,0.839724
陆龟蒙,藻鑑,1,0.800289,0.800289,袭美先辈以龟蒙所献五百言既蒙见和复示荣唱…用伸酬谢,纵有月旦评,月旦評,後漢許劭與兄靖俱有高名共覈論鄉黨人物每月更品題由是汝南俗有月旦評也,0.800289
陆龟蒙,賞賜,1,0.783061,0.783061,奉和袭美太湖诗二十首。投龙潭,民皆受其赐,受賜。,民到于今受其賜。,0.783061
陆龟蒙,案,1,0.780053,0.780053,以竹夹膝寄赠袭美,持赠敢齐青玉案,青玉案,《張平子詩》曰：「美人贈我錦繡段，何以報之青玉案。」,0.780053
陆龟蒙,舟,1,0.775062,0.775062,奉和袭美太湖诗二十首。明月湾,但当乘扁舟,扁舟,句踐既滅吳，范蠡乘扁舟泛五湖。,0.775062
陆龟蒙,師,1,0.766457,0.766457,奉和袭美添渔具五篇。渔庵,各随吾所好,從吾所好,既多知十之賢**：博我以文，必重在三之義。,0.766457
陆龟蒙,酒,1,0.766225,0.766225,江南秋怀寄华阳山人,俄分上尊酒,上尊酒,漢賜丞相上尊。《注》云：糯米一斗為上尊，稷為中粟，為下。,0.766225
陆龟蒙,乳母,1,0.765769,0.765769,袭美先辈以龟蒙所献五百言既蒙见和复示荣唱…用伸酬谢,少小不好弄,弱不好弄,《傳》：夷吾弱，不好弄。弄，戱也。弱，幼也。,0.765769
