作者规范,作者,total_poem_count,total_line_count,matched_poem_count,candidate_line_count,candidate_line_rate,line_high_poem_count,line_high_poem_rate,poem_high_count,poem_high_rate,line_high_count,line_high_rate,line_high_within_candidate_rate,poem_best_mean,poem_best_median,poem_best_max,line_best_mean,line_best_median,line_best_max,poet_id_count,poem_high_within_matched_rate
李翱,李翱,7,50,3,5,0.1,2,0.2857142857142857,1,0.14285714285714285,2,0.04,0.4,0.75970966,0.750061,0.813436,0.719395,0.715632,0.813436,1.0,0.3333333333333333
李适,李适,15,194,3,4,0.020618556701030927,2,0.13333333333333333,1,0.06666666666666667,2,0.010309278350515464,0.5,0.71308535,0.750845,0.753822,0.7116768,0.72914803,0.753822,1.0,0.3333333333333333
张贲,张贲,16,96,4,5,0.052083333333333336,2,0.125,2,0.125,2,0.020833333333333332,0.4,0.71503776,0.7296065,0.799777,0.7073868,0.701914,0.799777,1.0,0.5
韦渠牟,韦渠牟,4,320,3,5,0.015625,2,0.5,2,0.5,2,0.00625,0.4,0.7216346,0.77057,0.77057,0.69481957,0.654597,0.77057,1.0,0.6666666666666666
许棠,许棠,138,1309,11,12,0.009167303284950344,2,0.014492753623188406,1,0.007246376811594203,2,0.0015278838808250573,0.16666666666666666,0.6872762,0.691747,0.803451,0.6790898,0.68024004,0.803451,1.0,0.09090909090909091
聂夷中,聂夷中,43,444,15,18,0.04054054054054054,2,0.046511627906976744,2,0.046511627906976744,2,0.0045045045045045045,0.1111111111111111,0.67908657,0.657421,0.815883,0.67646813,0.66619754,0.815883,1.0,0.13333333333333333
耿湋,耿湋,181,1565,23,27,0.017252396166134186,2,0.011049723756906077,2,0.011049723756906077,2,0.0012779552715654952,0.07407407407407407,0.67551905,0.679581,0.752234,0.6650571,0.669752,0.752234,1.0,0.08695652173913043
朱庆馀,朱庆馀,168,1314,16,16,0.0121765601217656,2,0.011904761904761904,1,0.005952380952380952,2,0.0015220700152207,0.125,0.66367245,0.663714,0.792311,0.66367245,0.663714,0.792311,1.0,0.0625
刘得仁,刘得仁,139,1268,14,14,0.011041009463722398,2,0.014388489208633094,1,0.007194244604316547,2,0.0015772870662460567,0.14285714285714285,0.6608539,0.693582,0.764991,0.6608539,0.693582,0.764991,1.0,0.07142857142857142
唐彦谦,唐彦谦,167,1578,27,36,0.022813688212927757,2,0.011976047904191617,2,0.011976047904191617,2,0.0012674271229404308,0.05555555555555555,0.6494701,0.629978,0.868949,0.6506435,0.63960946,0.868949,1.0,0.07407407407407407
司空图,司空图,231,2175,24,29,0.013333333333333334,2,0.008658008658008658,2,0.008658008658008658,2,0.0009195402298850574,0.06896551724137931,0.65462965,0.6537545,0.865515,0.6485659,0.653494,0.865515,1.0,0.08333333333333333
孙元晏,孙元晏,75,300,20,23,0.07666666666666666,2,0.02666666666666667,2,0.02666666666666667,2,0.006666666666666667,0.08695652173913043,0.6479401,0.646538,0.765309,0.64644873,0.640407,0.765309,1.0,0.1
皇甫冉,皇甫冉,242,2031,35,40,0.019694731659281144,2,0.008264462809917356,2,0.008264462809917356,2,0.0009847365829640572,0.05,0.65113765,0.643921,0.775256,0.64606273,0.642974,0.775256,1.0,0.05714285714285714
崔颢,崔颢,48,710,19,33,0.04647887323943662,2,0.041666666666666664,2,0.041666666666666664,2,0.0028169014084507044,0.06060606060606061,0.6588505,0.659938,0.760499,0.6454424,0.624768,0.760499,1.0,0.10526315789473684
郑谷,郑谷,312,2484,30,33,0.013285024154589372,2,0.00641025641025641,2,0.00641025641025641,2,0.0008051529790660225,0.06060606060606061,0.64934635,0.636581,0.864149,0.6447566,0.625407,0.864149,1.0,0.06666666666666667
王勃,王勃,81,849,11,14,0.016489988221436984,2,0.024691358024691357,2,0.024691358024691357,2,0.002355712603062426,0.14285714285714285,0.6481413,0.628966,0.776838,0.64402884,0.6187775,0.776838,1.0,0.18181818181818182
李咸用,李咸用,177,1840,39,48,0.02608695652173913,2,0.011299435028248588,2,0.011299435028248588,2,0.0010869565217391304,0.041666666666666664,0.645854,0.645943,0.756714,0.64161426,0.6386025,0.756714,1.0,0.05128205128205128
