作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
僧鸾,僧鸾,小样本,2,82,False,False,6,73.17073170731707,2,100.0,1,12.195121951219512,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0.16666666666666666,0.0,0.5,0.0,0.6490105,0.6453255,0.751525,0.6425004999999999,0.6425004999999999,0.751525,84.0,,,
拾得,拾得,小样本,1,422,False,False,24,56.87203791469194,1,100.0,5,11.848341232227487,2,4.739336492890995,1,2.3696682464454977,1,100.0,1,100.0,1,100.0,0.20833333333333334,0.08333333333333333,1.0,1.0,0.6584647499999999,0.6416744999999999,0.805466,0.805466,0.805466,0.805466,88.0,,,
皇甫湜,皇甫湜,小样本,3,87,False,False,7,80.45977011494253,3,100.0,1,11.494252873563218,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.14285714285714285,0.0,0.0,0.0,0.6917287142857143,0.682137,0.746259,0.6952280000000001,0.680458,0.746259,89.0,,,
吴少微,吴少微,小样本,8,187,False,False,9,48.1283422459893,3,37.5,2,10.695187165775401,2,10.695187165775401,0,0.0,1,12.5,1,12.5,0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6416813333333333,0.644353,0.79074,0.6931486666666666,0.644353,0.79074,92.0,,,
卢藏用,卢藏用,小样本,8,116,False,False,4,34.48275862068965,2,25.0,1,8.620689655172413,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0.25,0.0,0.5,0.0,0.7080405000000001,0.701523,0.756167,0.734399,0.734399,0.756167,100.0,,,
刘允济,刘允济,小样本,4,116,False,False,3,25.862068965517242,2,50.0,1,8.620689655172413,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0.3333333333333333,0.0,0.5,0.0,0.6980056666666666,0.6857,0.765725,0.7257125,0.7257125,0.765725,100.0,,,
袁朗,袁朗,小样本,5,124,False,False,2,16.129032258064516,1,20.0,1,8.064516129032258,1,8.064516129032258,1,8.064516129032258,1,20.0,1,20.0,1,20.0,0.5,0.5,1.0,1.0,0.7139225,0.7139225,0.801805,0.801805,0.801805,0.801805,106.0,,,
顾云,顾云,小样本,8,151,False,False,12,79.47019867549669,5,62.5,1,6.622516556291391,1,6.622516556291391,1,6.622516556291391,1,12.5,1,12.5,1,12.5,0.08333333333333333,0.08333333333333333,0.2,0.2,0.6313983333333334,0.6157865,0.828477,0.6721756,0.648035,0.828477,118.0,,,
韦渠牟,韦渠牟,小样本,4,320,False,False,5,15.625,3,75.0,2,6.25,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0.4,0.0,0.6666666666666666,0.0,0.6948196,0.654597,0.77057,0.7216346666666666,0.77057,0.77057,120.0,,,
上官昭容,上官昭容,小样本,7,166,False,False,1,6.024096385542169,1,14.285714285714285,1,6.024096385542169,0,0.0,0,0.0,1,14.285714285714285,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.761181,0.761181,0.761181,0.761181,0.761181,0.761181,123.0,,,
任华,任华,小样本,3,188,False,False,10,53.191489361702125,3,100.0,1,5.319148936170213,0,0.0,0,0.0,1,33.33333333333333,0,0.0,0,0.0,0.1,0.0,0.3333333333333333,0.0,0.6712956,0.679311,0.760956,0.715427,0.699243,0.760956,127.0,,,
舒元舆,舒元舆,小样本,7,204,False,False,8,39.21568627450981,4,57.14285714285714,1,4.901960784313726,1,4.901960784313726,0,0.0,1,14.285714285714285,1,14.285714285714285,0,0.0,0.125,0.125,0.25,0.25,0.679748125,0.671205,0.79497,0.69991275,0.7015210000000001,0.79497,134.0,,,
钱珝,钱珝,小样本,7,440,False,False,7,15.909090909090908,1,14.285714285714285,1,2.2727272727272725,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.14285714285714285,0.0,0.0,0.0,0.6751218571428571,0.668749,0.747342,0.747342,0.747342,0.747342,193.0,,,
