作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
翁承赞,翁承赞,稳健样本,31,224,True,False,5,22.321428571428573,4,12.903225806451612,1,4.464285714285714,1,4.464285714285714,0,0.0,1,3.225806451612903,1,3.225806451612903,0,0.0,0.2,0.2,0.25,0.25,0.643845,0.63656,0.783571,0.6391147500000001,0.6203825000000001,0.783571,147.0,58.0,25.0,57.0
王维,王维,大样本,328,3604,True,True,120,33.29633740288568,92,28.04878048780488,16,4.439511653718091,3,0.832408435072142,2,0.5549389567147613,10,3.048780487804878,2,0.6097560975609756,2,0.6097560975609756,0.13333333333333333,0.025,0.10869565217391304,0.021739130434782608,0.6733358500000001,0.6676925,0.821402,0.6867435434782608,0.6828784999999999,0.821402,148.0,59.0,94.0,59.0
吕温,吕温,大样本,104,902,True,True,32,35.47671840354767,28,26.923076923076923,4,4.434589800443459,1,1.1086474501108647,1,1.1086474501108647,2,1.9230769230769231,1,0.9615384615384616,1,0.9615384615384616,0.125,0.03125,0.07142857142857142,0.03571428571428571,0.6731225,0.6756774999999999,0.809515,0.6700222857142857,0.671813,0.809515,149.0,60.0,85.0,97.0
储光羲,储光羲,大样本,176,3113,True,True,88,28.268551236749115,58,32.95454545454545,13,4.176035978156119,5,1.6061676839061998,4,1.28493414712496,8,4.545454545454546,4,2.272727272727273,4,2.272727272727273,0.14772727272727273,0.056818181818181816,0.13793103448275862,0.06896551724137931,0.6862786477272728,0.6798125,0.869222,0.6982778275862069,0.6960120000000001,0.869222,150.0,61.0,67.0,39.0
于邺,于邺,稳健样本,34,244,True,False,10,40.983606557377044,10,29.411764705882355,1,4.0983606557377055,1,4.0983606557377055,0,0.0,1,2.941176470588235,1,2.941176470588235,0,0.0,0.1,0.1,0.1,0.1,0.6627394,0.662315,0.787376,0.6627394,0.662315,0.787376,151.0,62.0,27.0,65.0
李山甫,李山甫,大样本,78,754,True,True,20,26.525198938992045,16,20.51282051282051,3,3.9787798408488064,0,0.0,0,0.0,2,2.564102564102564,0,0.0,0,0.0,0.15,0.0,0.125,0.0,0.6640551,0.654103,0.771524,0.6660369375,0.6528309999999999,0.771524,152.0,63.0,122.0,79.0
张蠙,张蠙,大样本,102,764,True,True,22,28.795811518324605,20,19.607843137254903,3,3.926701570680628,1,1.3089005235602096,1,1.3089005235602096,3,2.941176470588235,1,0.9803921568627451,1,0.9803921568627451,0.13636363636363635,0.045454545454545456,0.15,0.05,0.6528220454545455,0.6481684999999999,0.802154,0.6543937,0.6481684999999999,0.802154,153.0,64.0,73.0,65.0
韩翃,韩翃,大样本,166,1534,True,True,38,24.771838331160364,30,18.072289156626507,6,3.911342894393742,2,1.303780964797914,0,0.0,5,3.0120481927710845,2,1.2048192771084338,0,0.0,0.15789473684210525,0.05263157894736842,0.16666666666666666,0.06666666666666667,0.6558359736842105,0.6483455,0.797826,0.6676767666666666,0.6543215,0.797826,154.0,65.0,74.0,64.0
权德舆,权德舆,大样本,283,3457,True,True,70,20.2487706103558,57,20.141342756183743,13,3.7604859704946487,7,2.0248770610355797,2,0.5785363031530228,8,2.8268551236749118,5,1.76678445229682,2,0.7067137809187279,0.18571428571428572,0.1,0.14035087719298245,0.08771929824561403,0.6700648,0.6658415,0.835503,0.6789506315789474,0.669422,0.835503,155.0,66.0,57.0,70.0
尚颜,尚颜,稳健样本,33,270,True,False,3,11.11111111111111,3,9.090909090909092,1,3.7037037037037037,1,3.7037037037037037,0,0.0,1,3.0303030303030303,1,3.0303030303030303,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6982503333333333,0.704891,0.795626,0.6982503333333333,0.704891,0.795626,156.0,67.0,31.0,60.0
